,province_id,year,types,score
0,11,2019,2,607.00
1,11,2019,1,588.00
2,11,2018,2,623.00
3,11,2017,2,595.00
4,11,2017,1,585.00
5,12,2019,1,584.00
6,12,2019,2,570.00
7,12,2018,2,596.00
8,12,2018,1,588.00
9,12,2017,2,568.00
10,12,2017,1,560.00
11,13,2019,2,618.00
12,13,2019,1,606.00
13,13,2018,2,637.00
14,13,2018,1,625.00
15,13,2017,2,604.00
16,13,2017,1,593.00
17,14,2019,2,572.00
18,14,2019,1,568.00
19,14,2018,2,587.00
20,14,2018,1,582.00
21,14,2017,2,559.00
22,14,2017,1,542.00
23,15,2019,2,579.00
24,15,2019,1,542.00
25,15,2018,1,551.00
26,15,2018,2,549.00
27,15,2017,2,555.00
28,15,2017,1,545.00
29,21,2019,2,603.00
30,21,2019,1,592.00
31,21,2018,1,603.00
32,21,2018,2,593.00
33,21,2017,2,573.00
34,21,2017,1,565.00
35,22,2019,1,567.00
36,22,2019,2,549.00
37,22,2018,1,576.00
38,22,2018,2,560.00
39,22,2017,2,551.00
40,22,2017,1,549.00
41,23,2019,1,580.00
42,23,2019,2,574.00
43,23,2018,1,581.00
44,23,2018,2,559.00
45,23,2017,1,561.00
46,23,2017,2,551.00
47,32,2019,1,370.00
48,32,2019,2,363.00
49,32,2018,2,360.00
50,32,2018,1,358.00
51,32,2017,2,352.00
52,32,2017,1,351.00
53,33,2019,3,630.00
54,33,2018,3,623.00
55,33,2017,3,610.00
56,34,2019,2,602.00
57,34,2019,1,588.00
58,34,2018,2,610.00
59,34,2018,1,596.00
60,34,2017,2,579.00
61,34,2017,1,566.00
62,35,2019,2,573.00
63,35,2019,1,555.00
64,35,2018,2,598.00
65,35,2018,1,553.00
66,35,2017,2,540.00
67,35,2017,1,500.00
68,36,2019,2,595.00
69,36,2019,1,586.00
70,36,2018,2,611.00
71,36,2018,1,591.00
72,36,2017,2,576.00
73,36,2017,1,557.00
74,37,2019,1,595.00
75,37,2019,2,593.00
76,37,2018,2,612.00
77,37,2018,1,602.00
78,37,2017,1,594.00
79,37,2017,2,587.00
80,41,2019,1,600.00
81,41,2019,2,593.00
82,41,2018,2,616.00
83,41,2018,1,600.00
84,41,2017,2,588.00
85,41,2017,1,572.00
86,42,2019,2,585.00
87,42,2019,1,584.00
88,42,2018,2,610.00
89,42,2018,1,591.00
90,42,2017,2,582.00
91,42,2017,1,562.00
92,43,2019,2,603.00
93,43,2019,1,579.00
94,43,2018,2,626.00
95,43,2018,1,594.00
96,43,2017,2,597.00
97,43,2017,1,564.00
98,44,2019,2,580.00
99,44,2019,1,555.00
100,44,2018,2,582.00
101,44,2018,1,560.00
102,44,2017,2,553.00
103,44,2017,1,532.00
104,45,2019,1,583.00
105,45,2019,2,575.00
106,45,2018,2,589.00
107,45,2018,1,583.00
108,45,2017,2,578.00
109,45,2017,1,523.00
110,46,2019,2,730.00
111,46,2019,1,669.00
112,46,2018,2,720.00
113,46,2018,1,660.00
114,46,2017,2,715.00
115,46,2017,1,659.00
116,50,2019,2,589.00
117,50,2019,1,587.00
118,50,2018,1,595.00
119,50,2018,2,565.00
120,50,2017,2,571.00
121,50,2017,1,566.00
122,51,2019,1,627.00
123,51,2019,2,593.00
124,51,2018,1,616.00
125,51,2018,2,593.00
126,51,2017,1,583.00
127,51,2017,2,583.00
128,52,2019,2,602.00
129,52,2019,1,557.00
130,52,2018,2,631.00
131,52,2018,1,571.00
132,52,2017,2,605.00
133,52,2017,1,528.00
134,53,2019,2,611.00
135,53,2019,1,599.00
136,53,2018,2,619.00
137,53,2018,1,591.00
138,53,2017,2,600.00
139,53,2017,1,546.00
140,61,2019,2,589.00
141,61,2019,1,556.00
142,61,2018,2,584.00
143,61,2018,1,581.00
144,61,2017,2,566.00
145,61,2017,1,549.00
146,62,2019,2,580.00
147,62,2019,1,558.00
148,62,2018,1,563.00
149,62,2018,2,558.00
150,62,2017,2,549.00
151,62,2017,1,535.00
152,63,2019,2,536.00
153,63,2019,1,495.00
154,63,2018,2,517.00
155,63,2018,1,486.00
156,63,2017,2,466.00
157,63,2017,1,445.00
158,64,2019,2,590.00
159,64,2019,1,541.00
160,64,2018,2,586.00
161,64,2018,1,546.00
162,64,2017,2,567.00
163,64,2017,1,516.00
164,65,2019,2,568.00
165,65,2019,1,547.00
166,65,2018,2,565.00
167,65,2018,1,565.00
168,65,2017,2,553.00
169,65,2017,1,521.00
170,31,2018,3,517.00
171,54,2018,2,437.00
172,54,2018,1,342.00
173,54,2017,2,502.00
